,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
2,9232,180,,,70000.0,,,,,Pop-Up Store in Central Tin Hau,Pop-Up Store in Central Tin Hau,"Just a 5 minutes walk from Tin Hau MTR Station, this 1100 square feet space is nestled in a comfortable area of Tin Hau. It is available to rent for pop-up store.

This space is located on the ground level of a residential building, making this the best spot exposing to the foot traffic from both residential and commercial buildings nearby.

This charming space consists of a large main room, white walls and grey floors with a large window at the storefront which allows maximum amount of light to enter, making it a perfect place for retail industry participants to open their pop-up store. Apart from this, it is equipped with electricity as well.","Just a 5 minutes walk from Tin Hau MTR Station, this 1100 square feet space is nestled in a comfortable area of Tin Hau.",Causeway Bay (West),Hong Kong,,Boutique / Shop,,Electricity;Street Level;Window Display;Ground Floor,Pop-Up Store,hong-kong
4,8853,1,,40000.0,,80000.0,,,,Best opportunity! Pop-up in a prestigious shopping mall in TST,Best opportunity! Pop-up in a prestigious shopping mall in TST,"Located in the heart of Tsim Sha Tsui, the mall is the prestigious address embracing the hub of transportation. The ride from the mall to Central only takes 15 minutes. The shopping complex comprises of 400,000 square feet of retail space with twenty-nine levels.

This 1,206 square feet retail space is now available to rent for pop-up store, showroom or product launch, giving you a perfect opportunity to expand your business.

This space locates on the UG2 of the mall, next to other famous brands of the mall.

This space has a high ceiling and a big window which maximize the utilization of rays. It is equipped with WiFi and fire alarm. Elevator, goods elevator, and handicapped-accessible facilities are also available in the shopping mall. Toilet and parking are also provided in the mall.","Located in the heart of Tsim Sha Tsui, the mall is the prestigious address embracing the hub of transportation.",Tsim Sha Tsui,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Handicap Accessible;Lighting;Security System;Internet;Toilets;Private Parking,Product Launch;Pop-Up Store,hong-kong
7,15630,180,365.0,,35000.0,,,,,Mall Booth in Causeway Bay on 5/F,Mall Booth in Causeway Bay on 5/F,"Causeway Bay is a renowned shopping paradise. Flooded with reputable shopping malls and local shops, it has become the magnet for tourists and locals alike. The action never stops in this area and heavy foot-traffic is plenty. It is the ultimate place for retailers to be planted in. 

This booth is located inside a shopping mall that is steps away from the ever-busy Causeway Bay MTR station. Black walls with a shiny grey tile floor finish make this booth a welcoming platform that can inspire. Floor to ceiling windows run along a major side of the perimeter, allowing it to be flooded with natural sunlight in the day. Right by the entrance of the booth are the mall escalators, which fundamentally means even heavier foot traffic, this booth is a catch, ideal for retailers.

Remarks:

Height Limitation: 1350MM

Size: 1100mm x 7750mm

Turnover rate: 18% of Gross turnover",Causeway Bay is a renowned shopping paradise.,Causeway Bay,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Electricity,Shopping Mall,hong-kong
8,9028,180,,,18376.0,,,,,Pop-Up Spot in Causeway Bay Mall,Pop-Up Spot in Causeway Bay Mall,"Located in the heart of Causeway Bay, this 192 square foot pop-up shop is available to rent for pop-up store, boutique and gallery. 

The space is located on the first floor of a shopping mall in a trendy area of Causeway Bay.

This charming space consists of a cozy main room; its white walls and grey concrete floors create a blank canvas are perfect for allowing your imagination to run wild, to suit your event’s creative needs.","Located in the heart of Causeway Bay, this 192 square foot pop-up shop is available to rent for pop-up store, boutique and gallery.",Causeway Bay (West),Hong Kong,,Mall Shop,,Air Conditioning;Electricity;Window Display;Toilets,Pop-Up Store,hong-kong
16,8859,180,365.0,,37000.0,,,,,Make pop-up dream come true! Ideal space in heart of TST shopping mall,Make pop-up dream come true! Ideal space in heart of TST shopping mall,"Located in the heart of Tsim Sha Tsui, the mall is the prestigious address embracing the hub of transportation. The ride from the mall to Central only takes 15 minutes. The shopping complex comprises of 400,000 square feet of retail space with twenty nine levels.

This 81 sq ft. retail space is now available to rent for pop-up store, giving you a perfect opportunity to expand your business.

This open space locates on the L3 of the mall, next to escalators to other levels of the mall.

This open space has a high ceiling,  wooden floors and a big window which maximize the utilization of rays. It is equipped with WiFi and fire alarm. Elevator, goods elevator and handicapped-accessible facilities are also available in the shopping mall. Toilet and parking are also provided in the mall.

Remarks: 2.5mx3m","Located in the heart of Tsim Sha Tsui, the mall is the prestigious address embracing the hub of transportation.",Tsim Sha Tsui,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Handicap Accessible;Lighting;Security System;Internet;Toilets;Elevator;Private Parking,Shopping Mall,hong-kong
17,12270,7,365.0,,400000.0,,91000.0,,,Minimal Mall Shop in Causeway Bay,Minimal Mall Shop in Causeway Bay,"This contemporary mall shop is advantageously located in the touristic area of Causeway Bay close to the MTR station which is a great venue for a mall shop.

Located on the first floor of a prestigious shopping mall with a subtle entrance, this shop is open with a stylish feel. 
This modern mall shop is simple with basic interiors of white walls and polished concrete flooring. With large windows and a luminous atmosphere, this shop offers basic amenities including air-conditioning and basic lighting, which can accommodate a variety of mall shops.

Located close to Sogo and the MTR station, this mall shop is easily accessible and a great location for brands to make curate the ideal mall shop in the dynamic neighbourhood in Causeway Bay.",This contemporary mall shop is advantageously located in the touristic area of Causeway Bay close to the MTR station which is a great venue for a mall shop.,Causeway Bay (West),Hong Kong,,Mall Shop,,Air Conditioning;Electricity;Lighting,Shopping Mall,hong-kong
20,12301,30,365.0,,185125.0,,,,,Generous Pop-Up Store in Hung Hom,Generous Pop-Up Store in Hung Hom,"This vast pop-up store is in the popular area of Hung Hom which is an ideal location for brands to host a Pop-Up Store.

This store has a small entrance on the ground floor which boasts an inviting frontage. The store is equipped with vast windows on the first floor which has a bright feel with great visibility.  
There are basic interiors with concrete flooring and windows display on the first floor. The shop has a welcoming atmosphere with a warm edge. This pop-up store is a blank canvas ideal for brands and startups to bridge the gap between online and offline retail.

Located close to the Whampoa MTR station, this shop is easily accessible and a great location for pop-up stores.",This vast pop-up store is in the popular area of Hung Hom which is an ideal location for brands to host a Pop-Up Store.,Hung Hom,Hong Kong,,Boutique / Shop,,Electricity;Lighting;Window Display;Toilets;Ground Floor,Pop-Up Store,hong-kong
24,12034,2,5.0,60000.0,,,,,,Unique Causeway Bay Art Gallery,Unique Causeway Bay Art Gallery,"This contemporary Gallery is in the bustling area of Causeway Bay, near a number of shopping malls and the MTR station. It is an ideal location for brands to host an Art Event or Product Launch.

With a curated frontage and an entire glass display window, this gallery offers good visibility and is filled with a bright natural light. 
This open gallery is one-of-a-kind with art nouveau interiors of wooden floors and white walls, with extensive windows and a brilliant atmosphere. With facilities including television, chairs, and tables, this gallery can accommodate a range of art events.

Located close to a number of shopping malls, this gallery is easily accessible and a great location for product launches and art events.","This contemporary Gallery is in the bustling area of Causeway Bay, near a number of shopping malls and the MTR station.",Causeway Bay (West),Hong Kong,,Art Gallery,,Air Conditioning;Furniture;Electricity;Lighting;Security System;Street Level;Internet;Window Display;Toilets,Art Opening;Product Launch,hong-kong
27,14269,14,,,,,90000.0,,,Bright Shop in Causeway Bay,Bright Shop in Causeway Bay,"With a bright frontage and welcoming display windows, this shop offers good visibility and the venue is filled with a well-lit natural light. With bright windows, this venue is filled with a brilliant light. The interiors here are creative with exposed piping, raw concrete floors and a glass canopy. With limited amenities, this shop is a blank canvas ideal for brands and startups.

Advantageously situated in the bustling area of Causeway Bay close to a few prestigious shopping malls and high street retailers, this space is in a prime location. It is an exceptional opportunity in a highly sought after area and perfect for brands and startups.","With a bright frontage and welcoming display windows, this shop offers good visibility and the venue is filled with a well-lit natural light.",Causeway Bay (West),Hong Kong,,Boutique / Shop,,Air Conditioning;Electricity;Street Level;Window Display;Raw,Pop-Up Store,hong-kong
28,9021,14,90.0,,403000.0,,91000.0,,,Bright Pop-Up Spot in Causeway Bay,Bright Pop-Up Spot in Causeway Bay,"Located in the heart of Causeway Bay, this 350 square feet pop-up shop is available to rent for Pop-Up Store, Showroom, and Art Opening.

The space is located on the ground level of a commercial building.

There are glass walls at the store front in this cozy space. It is well-lit and ventilated; the monochrome design with white walls and black-and-white patterned floors create a nice clean finish. 

It is equipped with lighting, counter, shelves, hangers, fitting rooms, sound system, air Conditioning and storehouse.","Located in the heart of Causeway Bay, this 350 square feet pop-up shop is available to rent for Pop-Up Store, Showroom, and Art Opening.",Causeway Bay (West),Hong Kong,,Boutique / Shop,,Air Conditioning;Furniture;Garment Rack;Counters;Fitting Rooms;Lighting;Security System;Stock Room;Internet;Sound & Video Equipment;Ground Floor,Art Opening;Product Launch;Pop-Up Store;Fashion Showroom,hong-kong
29,10084,30,90.0,,30000.0,,,,,Causeway Bay Prime Pop-Up Shop,Causeway Bay Prime Pop-Up Shop,"Causeway Bay is a renowned shopping paradise. Flooded with reputable shopping malls and local shops, it has become the magnet for tourists and locals alike. The action never stops in this area and heavy foot-traffic is innate. It is the ultimate place for retailers to be planted in. 
 
This booth is located inside a shopping mall that is moments away from the ever-busy Causeway Bay MTR station. Black walls with a shiny grey tile floor finish make this booth a welcoming platform that can inspire. Floor to ceiling windows run along a major side of the perimeter, allowing it to be flooded with natural sunlight in the day. Right by the entrance of the booth are the mall escalators, which fundamentally means even heavier foot traffic. Equipped with primary features like air conditioning and toilets, this booth is a catch, ideal for retailers.",Causeway Bay is a renowned shopping paradise.,Causeway Bay (West),Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Electricity;Toilets;Daylight,Shopping Mall,hong-kong
