,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
201,21227,60,,,12000.0,,,,,Showroom Space In Fitzrovia,Showroom Space In Fitzrovia,"This space is located in the heart of Fitzrovia, a stone throw away from Regent Street and Oxford Circus tube station. The area is full of well known independent food and international brands such Riding House Café, Honey & Co, Psycle, Camerich and also a number of hotels including Charlotte Street Hotel, The London Edition and the Langham Hotel. 

The unit is in a prime location in Fitzrovia with excellent footfall, clean white walls, excellent condition, good ground and basement floor trading space, hard white wooden flooring, excellent lighting and a visible frontage. 

This is the perfect location to launch your pop up store and create long life customers in the Fitzrovia area.","This space is located in the heart of Fitzrovia, a stone throw away from Regent Street and Oxford Circus tube station.",Fitzrovia,London,W1W 8DG,Boutique / Shop,,Electricity;Kitchen;Lighting;Security System;Stock Room;Street Level;Window Display;Toilets,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Photoshoot & Filming,london
261,27033,1,,900.0,14000.0,900.0,4000.0,,,,"Contemporary Art Gallery, South Bank","A contemporary African Art Gallery.
The large white-walled space displays brightness and openness, fittingly reflective of the creativity and diversity in the area. The gallery is located near excellent street food, restaurants, and pubs whilst being easily accessible with a 4-minute walking distance from Southwark Station. With the neighborhood full of potential activities, one might expect a noisy environment, however, the location is perfectly situated and happens to be serenely quiet (minus temporary build works). Furthermore, we are located next to the Africa Centre and close proximity to Tate Modern.    
The main space reaches a grand height of 4.3 meters and is equipped with plenty of hanging room along with stylish, comfortable practical furniture throughout. This includes the mezzanine office, kitchen, and lower-level exhibition room. 
The features and amenities provided create the perfect space for a showroom or exhibition event, plus other short-term functions.",,,Greater London,SE1 0BZ,Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Security System;Street Level;Internet;Toilets;Ground Floor;Daylight;Garden;Private Parking;Large Door Entrance;Car Display,Art Opening;Fashion Showroom;Photoshoot & Filming,london
302,23363,365,,,10000.0,,,,,Pop-Up Boutique on Portobello Road,Pop-Up Boutique on Portobello Road,"This large 1100 sq ft corner space is situated in the centre of Notting Hill's Portobello Market, a prime destination for vintage, fashion and antique shops. This is an ideal blank canvas for all your short-term retail events.

It is a large street level corner shop on a busy crossroad in Notting Hill's Portobello Road.

The space is sleek and sophisticated with an all white exterior and interior with striking dark tiled floors. The frontage is fitted with ceiling-to-floor windows which fully light up the space with daylight and provide visibility of all products on display to passers-by.

This is an ideal venue for hosting public retail events which anticipate a high footfall.

This space will be available at the end of 2020","This large 1100 sq ft corner space is situated in the centre of Notting Hill's Portobello Market, a prime destination for vintage, fashion and antique shops.",Notting Hill,London,W11 1LU,Boutique / Shop,,Counters;Electricity;Lighting;Stock Room;Street Level;Window Display;Toilets;Daylight,Pop-Up Store,london
445,29949,1,,200.0,3000.0,250.0,900.0,,,,Modern Photography Studio London,"Our Studios is a modern photographic and filming studio and humble pop-up events venue set within the beautiful aesthetics of Royal Victoria Dock in the heart of the Docklands, East London
The multi-functional studio / pop-up event space features multiple coloured backdrops and  lighting equipment with fitting room, shower and kitchen facilities on premises.
The nearest DLR train station  is Royal Victoria (just one stop from Canning Town Jubilee Line) and the studio if  just a 3 minute walk from the Royal Victoria DLR station.
Paid parking is available on North Woolwich Road from £2",,,Greater London,E16 1AH,Photo / Filming Studio,,Electricity;Fitting Rooms;Handicap Accessible;Kitchen;Lighting;Security System;Street Level;Internet;Toilets;Stunning View;Ground Floor;Bathroom;Bar;Elevator;Multiple Rooms;Water Access;Animals Friendly,Fashion Show;Private Sale;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Corporate Event;Shopping Mall;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,london
455,27038,1,336.0,125.0,1000.0,150.0,625.0,,,,Unique Mezzanine Space In A Busy Coffee Shop In West London!,"This vibrant and unique space is home to Doreen’s Coffee House. A local coffe shop based on Askew Road. The nearest station is Stamford Brook on the District Line. On the ground floor we have an 11 seat coffee house, upstairs can be used for those seeking a potential pop-up (long or short-term). We have many locals and repeat customers who come in everyday and to have a unique business that we can collaborate or advertise with based upstairs would be a great addition to our community!",,,Greater London,W12 9AH,Unique Space,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Office Equipment;Toilets;Living Space;Stunning View;Ground Floor;Bathroom;Bar;Daylight;Raw;Whitebox / Minimal;Liquor Licence;Large Door Entrance;Multiple Rooms;Water Access;Animals Friendly;Soundproof,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,london
469,30274,180,,,17664.0,,,,,,Prime Pop Up Boutique In Fitzrovia,"Located in bustling Fitzrovia, this retail space is arranged over ground and lower ground floors. The space is light and airy, with a ovulated glass skylight in the rear of the property.

White walls and hardwood floors, as well as floor to ceiling glass exposure give the unit versatile flexibility in the types of pop ups the unit can accommodate.

Oxford Circus, Tottenham Court Road and Goodge Street Underground Stations are all a stones throw away. Transit links will be improved further with the completion of Crossrail at Tottenham Court Road Station, in 2018.",,Fitzrovia,London,W1W 7PA,Boutique / Shop,,Electricity;Street Level;Window Display;Toilets;Whitebox / Minimal,Pop-Up Store,london
516,29499,1,,600.0,,,,,,,Versatile Photo and Video Studio,"Our Studio is a unique and versatile space made for film and photography. The highly adaptable studio includes a variety of specially designed walls and surfaces for different rustic looks while still being versatile enough to make the space your own with set building encouraged. 
 
Filled with an eclectic range of props and furniture the space compliments the neighboring Dockyard Kitchen with a backless fridge, dining table and upstairs mezzanine chillout area. Hosted in our character studios in Woolwich Dockyard, with free parking, Wifi and fast transport links into London Bridge and central London.
 
Superfast internet
Various props & furniture 
Spiral Staircase
Large victorian window with blackout blind installed
Option to hire a separate changing room, (subject to availability)
Double width load in access
Free off-street parking
Makeup area
 
We are very happy to say we can now offer roof access for photography & filming once again, the rooftop and outdoor warehouse location comes as an additional booking. Please get in touch for more details and prices. 

A private dressing room and makeup space is available for hire at £40+vat. Please reach out for availability.",,,Greater London,SE18 5NG,Photo / Filming Studio,,Furniture;Garment Rack;Electricity;Fitting Rooms;Internet;Toilets;Rooftop;Daylight;Industrial;Animals Friendly,Photoshoot & Filming;Photo Shooting,london
530,29580,1,,1300.0,,,,,,,Industrial Rooftop,"We are very happy to say we can now offer roof access for photography & filming once again. 
Previously a Victorian factory, the exterior is perfect for an industrial shoot. The original brickwork, huge windows, and metal staircases enhance the rustic aesthetic.

Additional studios available to hire are; Dockyard Kitchen, Warehouse Kitchen & Cove, Studio Green, and Studio Bohemian.

A private dressing room and makeup space is available for hire at £40+vat. Please reach out for availability.

All studios have access to:
Superfast internet
Free power
Option to hire a separate changing room, (subject to availability)
Double width load in access
Free off-street parking
Slide adjustable lighting rig with 3 x cross beams. 3 x Pantagraph
A selection of rustic furniture
Top-down tiles
Outside balcony access",,,Greater London,SE18 5NG,Rooftop,,Garment Rack;Fitting Rooms;Internet;Toilets;Stunning View;Rooftop;Bathroom;Elevator;Daylight;Industrial;Animals Friendly,Photoshoot & Filming;Photo Shooting,london
546,20832,1,,2500.0,,4000.0,4000.0,,,Event Space In Shoreditch,Looking Glass Cocktail Club,"Looking Glass Cocktail Club is a stylish speakeasy bar, situated in the heart of buzzing Shoreditch, on the hip and yet undiscovered Hackney Road. Step through the opulent ‘looking glass’ to enter a quirky 'secret room', a parallel world of decedent debauchery and tantalising entertainment.

Available for Events, Private hires, Brand activations, Dj Nights and  Birthday parties / Celebrations.

Book a viewing to see the space, our dedicated events team would be happy to help!","Advantageously located in the bustling area of Shoreditch, It is ideal for a Pop-Up Store or Private Sale.",Shoreditch,London,E2 7NX,Event Space,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets;Bar;Liquor Licence,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Photo Shooting,london
641,29670,5,,150.0,4000.0,230.0,1050.0,,,,Cosy Art Gallery to book,"This cosy Gallery is bright and welcoming in a busy area of London, with a great light set up and a unique look perfect place to exhibit a Solo art show, Art talks, fine art, illustration and everything in between.",,,Greater London,SW6 1BF,Container,,Furniture;Electricity;Kitchen;Lighting;Internet;Window Display;Bathroom,Art Opening;Pop-Up Store;Photoshoot & Filming;Photo Shooting,london
