,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
260,27257,1,,2500.0,33000.0,4000.0,12000.0,,,,Event Space with great vibe,"Ask about us about our TAKE OVER SPACE RATES
For those super special events, you can have the entire restaurant with the chefs special Sardinia Italian food. Perfect for anniversaries, small private parties and other unique occasions. Your Chill Spot (Event Space) perfect vibe for all occasions that also has great (Sardinia) Italian food. CALL NOW 323.388.2640 The Energy is great here in our space that also has an awesome vibe in our outdoor space.

This is the ideal event space for dinner parties, family celebrations, film shoots, photo shoots, music events and almost any medium size occasion. This neighborhood is safe, and clean, located in the updated Amazon Studio complex in downtown Culver City with plenty underground and nearby parking for all your guest.",,Lucerne - Higuera,Culver City,90232,Event Space,,Air Conditioning;Furniture;Counters;Electricity;Heating;Kitchen;Lighting;Street Level;Internet;Toilets;Ground Floor;Bathroom;Bar;Garden;Large Door Entrance;Multiple Rooms,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,los-angeles
325,27510,1,,8000.0,120000.0,10000.0,40000.0,,,,"Charming, Sun-lit Café perfect for any event - WeHo","This beautiful 1,500 sq. ft café located on a popular street in West Hollywood offers a perfect space for any type of event such as an engagement party, networking mixer, or speaker panel.

The indoor space is polished, clean and captures a European charm with its minimalist design. Lots of natural sunlight pours through the windows. Additionally, there is an outdoor area with an incredible mural wall for photo ops.

Additional Features:
+ space can accommodate up to 100 guests (standing)
+ café is located near the legendary Paul Smith ""PINK WALL""  
+ we can create custom designed latté art for your event!

***Also available to rent during daytime hours, but will be charged at a custom rate for full buyout of our operating hours***",,Melrose,Los Angeles,90046,Event Space,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Street Level;Internet;Window Display;Toilets;Living Space;Ground Floor;Bathroom;Industrial;Large Door Entrance,Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Food Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Shop Share;Photo Shooting,los-angeles
383,29431,1,1.0,400.0,,400.0,,,,,Trademark Beauty Studio,"This is a beautiful, clean, and efficient space.
Perfect for someone looking to shoot photos, videos, products etc.",,Tri-West,West Hollywood,90069,Photo / Filming Studio,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Lighting;Security System;Street Level;Internet;Toilets;Bathroom;Water Access,Photo Shooting,los-angeles
394,6614,1,,300.0,8400.0,300.0,2100.0,,,Spacious Event Venue,Spacious Event Venue,A spacious venue with a high volume of daily traffic.,A spacious venue with a high volume of daily traffic.,Graham,Florence-Graham,90002,Photo / Filming Studio,,Air Conditioning;Counters;Electricity;Handicap Accessible;Heating;Lighting;Street Level;Internet;Window Display;Toilets;Ground Floor;Bathroom;Industrial;Multiple Rooms,Art Opening;Food Event;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,los-angeles
452,12399,1,1.0,3000.0,,,,,,Unique Space in West LA,Unique Space in West LA,"Our rates vary based on total number of attendees. Additionally, we add a $500 fee for site rep\Covid safety officer. And $500 for Covid disinfectant cleaning.

RATES:
• Rates start at $300/hr with an 10-hour minimum.
• Rates vary based on the size and scope of your production:
• 1 - 8 attendees = +0/hr
• 9 - 15 attendees = +75/hr
• 16 - 25 attendees + 150/hr","This Unique Space situated in the Palms neighborhood has been featured in the NY Times, Vogue and the television show Transparent.",Palms,Los Angeles,90034,Unique Space,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Street Level;Internet;Toilets;Living Space;Ground Floor;Bathroom;Daylight;Garden;Multiple Rooms,Photo Shooting,los-angeles
500,29957,1,,10000.0,100000.0,10000.0,35000.0,,,,"Amazing 6,300sqft Villa in Los Angeles","The main house boasts 6,300 square feet with an open floor plan with an impressive foyer, double staircase, 23 feet high custom ceiling, fireplaces, dining room, and a formal living room that opens to a terrace with beautiful views of the pool, sports court and lush landscaping.
The 30,000 sqft of outdoor space has plenty of space for weddings, large events, family reunions, birthday parties, graduations, engagement parties and just about anything else you can conceive w/ a capacity that can accommodate over 300 people. Featuring a large barbeque, salt-water pool, jacuzzi fit for 15 people, and basketball court.",,Northridge,Los Angeles,91343,Mansion / House,,Air Conditioning;Furniture;Electricity;Fitting Rooms;Heating;Kitchen;Street Level;Internet;Sound & Video Equipment;Toilets;Living Space;Ground Floor;Bathroom;Bar;Garden;Large Door Entrance;Multiple Rooms;Animals Friendly;Terrace,Fashion Show;Art Opening;Late Night Event (after 10pm);Product Launch;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,los-angeles
559,30429,1,,360.0,7200.0,540.0,1800.0,,,,Mediterranean Inspired Studio,"The studio includes the following amenities:

• Customized Studio Lighting (Weeylite RGB ring light & GVM 800D-RGB LED Studio 3-Video Light Kit)
• Cyc Wall (17ft deep x 17ft wide x 12ft tall)
• iPad for in-house lighting control and music
• Bluetooth Music (Spotify)
• Hair/Make-Up Station
• Clothing Rack
• Booths with Monitors
• Steamer
• Kitchen (shared)
• Two bathrooms (shared)
• Wifi
• Air Conditioning
• Portable fans

** Additional two studios available for rent in same space along with buyout of entire building for events.",,Central LA,Los Angeles,90046,Photo / Filming Studio,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Kitchen;Lighting;Security System;Street Level;Internet;Sound & Video Equipment;Toilets;Living Space;Ground Floor;Rooftop;Bathroom;Whitebox / Minimal;Industrial;Private Parking;Multiple Rooms;Water Access;Smoking Area;Animals Friendly,Fashion Show;Private Sale;Art Opening;Product Launch;Fashion Showroom;Corporate Event;Photoshoot & Filming;Photo Shooting,los-angeles
601,30184,84,1680.0,,5500.0,,,,,,Boutique Fitness & Wellness Studio in Downtown Santa Monica,"This health and wellness studio is located in the heart of Santa Monica but tucked away from foot traffic and tourism.  When you walk in, there is a huge open space with grayish-white vinyl plank floors, soft blue on the walls, high ceilings and graffiti art on the walls.  The ground floor space is full of natural light with full length mirrors against the main wall, a Peloton bike, a cable pulley, and several pieces of strength equipment around the perimeter.  There is also a small kitchenette with a microwave and mini fridge for your convenience.  The bathroom is adjacent to the suite and is only for use by tenants of the suite and the building workers.  The large open area is perfect for events, movement classes, and workshops of all kinds.  There are also two private offices, one 75 square feet and one 150 square feet, ready to rent to anyone who needs a quiet place to call their own.  The smaller office has a desk and chair and wall cubbies but is otherwise open for someone to furnish at their liking.  The larger office has an ivory hi-lo table, a dresser for storage, and a modern meets shabby chic decor.  Down the block is Umami burger, The Hive, Crimson and Blue Daisy for delicious local food.  A block up is Philz coffee, 3 blocks down is the 3rd street promenade, and 6 blocks away is the gorgeous Pacific Ocean.  The space is newly re-painted, regularly cleaned and secure with an ADT alarm system.",,Downtown,Santa Monica,90401,Event Space,,Air Conditioning;Electricity;Lighting;Street Level;Internet;Window Display;Office Equipment;Toilets;Ground Floor;Bathroom;Daylight;Private Parking;Multiple Rooms,Art Opening;Corporate Event;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,los-angeles
614,11266,1,336.0,1500.0,,,,,,Pop-Up Retail / Art Gallery in Burbank,Pop-Up Retail / Art Gallery in Burbank,"This great retail space is located in Burbank close to Magnolia Park. At 1,900 sq ft it's a prime shop space ideal for Pop-Up Stores and Art Exhibitions.

The space has an open plan and large display windows at it's frontage, which allows plenty of natural light into the space creating a bright atmosphere. With trendy industrial features the space has a loft-like feel and is perfect for brands looking for a flexible space in which to create their perfect pop-up retail or art show environment.

This space is easily accessible and located on a busy street, ideal for brands, designers and artists looking to gain exposure in a modern space.",This great retail space is located in Burbank close to Magnolia Park.,Magnolia Park,Los Angeles,91505,Boutique / Shop,,Air Conditioning;Furniture;Garment Rack;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Street Level;Internet;Window Display;Sound & Video Equipment;Toilets,Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Photoshoot & Filming,los-angeles
622,30151,1,,2898.0,,,,,,,VR Gaming Center for Exciting Group Events,"A Virtual Theme Park is a modern alternative to existing entertainment! Live in a virtual world where the action takes place around you. Don’t just play the game; be part of it!

Jump straight into the game and be the hero of your own story! Conquer a virtual landscape tailored completely for you. We’re positive you’ll be awestruck and craving more after first experiencing the high-end technology we have to offer. Step into the future of gaming at our venue. 

Participate in team battles with friends as you all traverse the same virtual environment together. You'll conquer planets together, survive zombie apocalypses, and explore huge worlds.  You can test your skills in virtual laser tag or even ride a virtual roller coaster while you talk and interact just as you do in the real world. Work together or go on solo missions, then reconnect and share your experiences together!

We are an advanced, 6,500 square foot virtual reality park equipped with the latest in VR technology. There's always a gaming space open for you as the park can play 52 people at a time on 9 different types of attractions. Park capacity is up to 150 people for your events.
With a constantly updating gaming portfolio of 90+ VR titles in a variety of genres, the venue is sure to bring something new and exciting to the table each time you visit. For fans of arcade and simulations, there are more than a dozen VR arcade games. For those who prefer more relaxing games, we offer the chance to plunge into the world of famous artists in the Art VR project.  If you enjoy puzzling quests with fascinating stories, try your hand at our VR Escape Rooms.

The venue makes for the most exciting and memorable birthday parties for children, teens and adults. Fuel amazing corporate events by hosting an incredible team bonding, team building, corporate outing. Gather together for competitive cybersports tournaments and dazzling chamber events. There is a dining area with additional catering, DJ booth, karaoke and much more. If you need a more personalized touch to your event package, our managers will help you create a unique scenario!",,North Redondo,Redondo Beach,90278,Event Space,,Internet;Sound & Video Equipment;Multiple Rooms,Product Launch;Corporate Event,los-angeles
