,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
46,15460,1,,3500.0,70000.0,3700.0,22000.0,,,Your Customizable Mobile Pop-Up Truck,Your Customizable Mobile Pop-Up Truck,"This Mobile Pop-Up Truck is fully customizable. 

Bring your idea to life and promote your brand with a mobile pop-up. These high-end glass trucks can bring your brand wherever you want to be: you can rent these trucks and customize them for one day, one week, a month or longer term. 

The interior space is 9' long x 8' wide with a fully-functional door/entrance into the space, The space itself is open, and you can design it however you want. Create an experiential pop-up that physically engages with your customers, with this super flexible set-up. 

We provide a super quick turnaround and a full turn key solution. Send your inquiry directly to us and we can discuss the next steps. 

We are excited to bringing your brand experience to life, anytime, anywhere!",This Mobile Pop-Up Truck is fully customizable.,Mobile,New York,10010,Truck,,Air Conditioning;Garment Rack;Counters;Electricity;Lighting;Street Level;Internet;Window Display;Sound & Video Equipment,Late Night Event (after 10pm);Pop-Up Store;Food Event;Photoshoot & Filming,new-york
92,10115,1,336.0,500.0,7500.0,550.0,2500.0,,,Welcoming Photo Studio in Chelsea,Welcoming Photo Studio in Chelsea,"This customizable studio loft space located close to Penn Station is ideal for Photoshoots and Collaborative Work Space for Creative Professionals.

The space is bright with white walls and large windows, the interiors are minimal with a number of facilities ideal for photoshoots and creative projects. Fully equipped with hair and makeup stations, WiFi, garment racks, tables, and chairs, the space can comfortably fit groups of up to 6-8 people while still leaving plenty of space to work. The space is filled with natural light and there are also Profoto lighting kits available for use.

Situated in an easily accessible area close to Chelsea and Herald Square with a number of museums and cultural landmarks in the area, this is a well-equipped studio and work space for creatives.

Hours of operation for this space are 930-530pm per day.",This customizable studio loft space located close to Penn Station is ideal for Photoshoots and Collaborative Work Space for Creative Professionals.,Chelsea,New York,10001,Photo / Filming Studio,,Garment Rack;Electricity;Heating;Lighting;Internet;Window Display;Toilets;Whitebox / Minimal,Fashion Showroom;Photoshoot & Filming,new-york
101,19324,1,365.0,1500.0,,,,,,Production Space in Brooklyn,Production Space in Brooklyn,"A independent  creative art space housed within the walls of a turn of the century milk factory in Bed-Stuy, Brooklyn. The facility boasts a spacious photo studio, a cafe/coworking space, & maker space.

It is the ideal location for a unique experience created for customers and physically engage with them. Any brand trying to host a Pop-Up would be an ideal fit.","A independent  creative art space housed within the walls of a turn of the century milk factory in Bed-Stuy, Brooklyn.",Bedford-Stuyvesant,Brooklyn,11206,Photo / Filming Studio,,Furniture;Garment Rack;Counters;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Stock Room;Street Level;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets,Fashion Show;Product Launch;Pop-Up Store;Photoshoot & Filming,new-york
112,6191,1,3.0,8500.0,,,,,,Demo Kitchen with Beautiful Loft Space,Demo Kitchen with Beautiful Loft Space,"The 4000 sq ft Culinary Events Loft in Flatiron offers the perfect setting for a Product Launch, Food Photo Shoot, Media Event Rental, or Celebrity Chef Cooking Demo. The Kitchen is the Perfect Location for Filming Food Related TV and Film Projects.","The 4000 sq ft Culinary Events Loft in Flatiron offers the perfect setting for a Product Launch, Food Photo Shoot, Media Event Rental, or Celebrity Chef Cooking Demo.",Flatiron District,New York,10001,Event Space,,Air Conditioning;Counters;Electricity;Handicap Accessible;Heating;Kitchen;Toilets;Bathroom;Bar;Elevator;Daylight,Product Launch;Food Event;Corporate Event;Photoshoot & Filming;Food & Beverage,new-york
121,15458,1,,3500.0,70000.0,3700.0,22000.0,,,Your Customizable Mobile Pop-Up Truck,Your Customizable Mobile Pop-Up Truck,"This Mobile Pop-Up Truck is fully customizable. 

Bring your idea to life and promote your brand with a mobile pop-up. These high-end glass trucks can bring your brand wherever you want to be: you can rent these trucks and customize them for one day, one week, a month or longer term. 

The interior space is 9' long x 8' wide with a fully-functional door/entrance into the space, The space itself is open, and you can design it however you want. Create an experiential pop-up that physically engages with your customers, with this super flexible set-up. 

We provide a super quick turnaround and a full turn key solution. Send your inquiry directly to us and we can discuss the next steps. 

We are excited to bringing your brand experience to life, anytime, anywhere!",This Mobile Pop-Up Truck is fully customizable.,Mobile,New York,10012,Truck,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Lighting;Street Level;Window Display;Sound & Video Equipment,Late Night Event (after 10pm);Product Launch;Pop-Up Store;Food Event;Photoshoot & Filming,new-york
122,7738,1,365.0,2000.0,,,12500.0,,,Historical SoHo Performing Arts Venue,Historical SoHo Performing Arts Venue,"This playhouse is a historical performing arts venue located in the center of West SoHo. This theater can accommodate 176 people, and it has a performance/presentation area of 23 x 20.

The rental of this space would include the use of stage lights, projection screen, and digital projector. It also has a small cabaret space with full bar, which can accommodate up to 100 people. This space is perfect for a cocktail mixer before or after your event",This playhouse is a historical performing arts venue located in the center of West SoHo.,SoHo,New York,10013,Other,,Air Conditioning;Counters;Electricity;Fitting Rooms;Heating;Lighting;Security System;Street Level;Internet;Sound & Video Equipment;Toilets,Fashion Show;Product Launch;Corporate Event,new-york
133,14762,2,365.0,300.0,,360.0,,,,Unique Space in the North Shore Arts District,Unique Space in the North Shore Arts District,"The studio is an open space used for everything from film and photography shoots to live music events and art exhibits. Located on a colorful block in the Stapleton Arts District, there are buses and a train very close by, as well as multiple cafes, delis, and restaurants in the neighborhood. 

The studio/gallery is located on the ground floor of an arts building, providing easy load-in access. It consists of about 1,100 square feet of open space, in addition to storage room, 2 bathrooms, and a greenroom. Our greenroom includes a small refrigerator and microwave. There are high ceilings, white walls, and rotatable tracks lights ideal for lighting hanging artwork. There is a large space for a window display, which takes up most of the street view of the studio/gallery. WiFi is accessible.

The space consists of a modular and moveable stage with a backline consisting of a drum kit, speakers, microphones, and amps. Ideal for having live music at an art reception!

Also available for use are multiple backdrops for shooting, a garment rack, a steamer, and about 10 chairs. Additional chairs and garment racks can be provided for a rental fee. We also have event staffing, AV services, and sound tech services available at an additional cost.",The studio is an open space used for everything from film and photography shoots to live music events and art exhibits.,Stapleton,Staten Island,10304,Photo / Filming Studio,,Air Conditioning;Garment Rack;Electricity;Fitting Rooms;Handicap Accessible;Heating;Lighting;Street Level;Internet;Window Display;Toilets;Stunning View;Ground Floor,Fashion Show;Private Sale;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Photoshoot & Filming,new-york
160,14139,1,336.0,4500.0,,,,,,Stunning Mansion in West Village,Stunning Mansion in West Village,"Situated in the heart of Wes Village, this stunning Mansion is in a prime location in Downtown Manhattan. It is a wonderful opportunity to open a Pop-Up Store or Showroom in this unique venue.

The space is a fully built-out and ready for immediate occupancy. The interiors are tasteful and vibrant with a classy and high-end look. A lot of natural light benefit the space as well as the high loft ceilings. The space is adorned with contemporary and provocative art.

With a stylish atmosphere, this space is a great opportunity to create a unique and unforgettable experience.","Situated in the heart of Wes Village, this stunning Mansion is in a prime location in Downtown Manhattan.",West Village,New York,10011,Apartment / Loft,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Internet;Sound & Video Equipment;Toilets;Rooftop;Bathroom;Daylight;Garden;Multiple Rooms,Fashion Show;Art Opening;Late Night Event (after 10pm);Product Launch;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Photo Shooting,new-york
173,12456,1,365.0,5000.0,150000.0,7500.0,40000.0,,,Rooftop Event Space,Rooftop Event Space,"This welcoming 1,800 sq ft event space boasts a rooftop deck which offers breathtaking views of the city. Located in Astoria near 36th Ave, it is ideal for Private Events and Corporate Functions. 

The space has industrial chic interiors with exposed brick walls, concrete floors and a mix of modern and bespoke furniture and fittings. The large roof terrace provides a wonderful outside space and a flexibility in event set-up. 

This well-equipped space is suited to a range of different event types and is a great option for creative events.","This welcoming 1,800 sq ft event space boasts a rooftop deck which offers breathtaking views of the city.",Long Island City,New York,11106,Rooftop,,Air Conditioning;Furniture;Garment Rack;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Internet;Sound & Video Equipment;Toilets;Industrial,Product Launch;Corporate Event;Photoshoot & Filming,new-york
239,19312,1,365.0,1550.0,,,,,,Unique Showroom Near Bryant Park,Unique Showroom Near Bryant Park,"This is a bright, open, beautiful studio space for multi-functional rental capacity. The large windows with natural light, modern, minimalist, spacious, premiere midtown-Manhattan location, 10th Floor
In Building with Security, 24 hr access Elevator Access, Freight Elevator, Parking.

This is a unique opportunity for any brand or retailer to host a Pop-Up.
Easy Access from both Port Authority and Penn Station","This is a bright, open, beautiful studio space for multi-functional rental capacity.",Garment District,New York,10018,Atelier / Workshop Studio,,Air Conditioning;Electricity;Handicap Accessible;Heating;Kitchen;Internet;Toilets;Elevator,Fashion Show;Art Opening;Product Launch;Fashion Showroom;Corporate Event;Photoshoot & Filming,new-york
